username,rating,movie name
Martin Carr,"| Original Score: 8/10
                
                |",Harry Potter and the Goblet of Fire
Sean Axmaker,|,Harry Potter and the Goblet of Fire
David Nusair,"| Original Score: 2.5/4
                
                |",Harry Potter and the Goblet of Fire
Mike Massie,"| Original Score: 6/10
                
                |",Harry Potter and the Goblet of Fire
Debbie Lynn Elias,|,Harry Potter and the Goblet of Fire
Guillem Martinez Oya,"| Original Score: 4/5
                
                |",Harry Potter and the Goblet of Fire
Mattie Lucas,"| Original Score: 3/4
                
                |",Harry Potter and the Goblet of Fire
Rachel Wagner,"| Original Score: B-
                
                |",Harry Potter and the Goblet of Fire
Jeremy Jahns,|,Harry Potter and the Goblet of Fire
Sukhdev Sandhu,"| Original Score: 4/5
                
                |",Harry Potter and the Goblet of Fire
Peter Bradshaw,"| Original Score: 3/5
                
                |",Harry Potter and the Goblet of Fire
Victoria Segal,|,Harry Potter and the Goblet of Fire
Jim Schembri,"| Original Score: 1.5/5
                
                |",Harry Potter and the Goblet of Fire
Jay Stone,"| Original Score: 3.5/5
                
                |",Harry Potter and the Goblet of Fire
Michael Kleinschrodt,"| Original Score: 4/4
                
                |",Harry Potter and the Goblet of Fire
Cosmo Landesman,|,Harry Potter and the Goblet of Fire
Amy Biancolli,|,Harry Potter and the Goblet of Fire
Matt Soergel,"Full Review
                
                
                    | Original Score: 3.5/4
                
                |",Harry Potter and the Goblet of Fire
Dennis King,"| Original Score: 3.5/4
                
                |",Harry Potter and the Goblet of Fire
Daniel Saney,"| Original Score: 5/5
                
                |",Harry Potter and the Goblet of Fire
